jobid	jobname	prog	num_segs	num_frames	maxvmem	cpu	exit_status
1	emt0.0.0.traindir.61fffb38eed511ea975eacde48001122	gmtkEMtrain	4	184355	0	6.364212	0
2	emt0.0.bundle.traindir.61fffb38eed511ea975eacde48001122	gmtkEMtrain	4	0	0	7.000566	0
3	emt0.1.0.traindir.61fffb38eed511ea975eacde48001122	gmtkEMtrain	4	184355	0	13.245317	0
4	emt0.1.bundle.traindir.61fffb38eed511ea975eacde48001122	gmtkEMtrain	4	0	0	13.915523	0
5	emt0.2.0.traindir.61fffb38eed511ea975eacde48001122	gmtkEMtrain	4	184355	0	19.782225999999998	0
6	emt0.2.bundle.traindir.61fffb38eed511ea975eacde48001122	gmtkEMtrain	4	0	0	20.453022	0
7	emt0.3.0.traindir.61fffb38eed511ea975eacde48001122	gmtkEMtrain	4	184355	0	26.148401	0
8	emt0.3.bundle.traindir.61fffb38eed511ea975eacde48001122	gmtkEMtrain	4	0	0	26.790208	0
9	emt0.4.0.traindir.61fffb38eed511ea975eacde48001122	gmtkEMtrain	4	184355	0	32.421525	0
10	emt0.4.bundle.traindir.61fffb38eed511ea975eacde48001122	gmtkEMtrain	4	0	0	33.082338	0
11	emt0.5.0.traindir.61fffb38eed511ea975eacde48001122	gmtkEMtrain	4	184355	0	38.863723	0
12	emt0.5.bundle.traindir.61fffb38eed511ea975eacde48001122	gmtkEMtrain	4	0	0	39.550951000000005	0
13	emt0.6.0.traindir.61fffb38eed511ea975eacde48001122	gmtkEMtrain	4	184355	0	45.247772999999995	0
14	emt0.6.bundle.traindir.61fffb38eed511ea975eacde48001122	gmtkEMtrain	4	0	0	45.897053	0
15	emt0.7.0.traindir.61fffb38eed511ea975eacde48001122	gmtkEMtrain	4	184355	0	51.651344	0
16	emt0.7.bundle.traindir.61fffb38eed511ea975eacde48001122	gmtkEMtrain	4	0	0	52.326254	0
17	emt0.8.0.traindir.61fffb38eed511ea975eacde48001122	gmtkEMtrain	4	184355	0	58.117171	0
18	emt0.8.bundle.traindir.61fffb38eed511ea975eacde48001122	gmtkEMtrain	4	0	0	58.7879	0
19	emt0.9.0.traindir.61fffb38eed511ea975eacde48001122	gmtkEMtrain	4	184355	0	65.13606200000001	0
20	emt0.9.bundle.traindir.61fffb38eed511ea975eacde48001122	gmtkEMtrain	4	0	0	65.839996	0
21	emt0.10.0.traindir.61fffb38eed511ea975eacde48001122	gmtkEMtrain	4	184355	0	71.765708	0
22	emt0.10.bundle.traindir.61fffb38eed511ea975eacde48001122	gmtkEMtrain	4	0	0	72.50638000000001	0
23	emt0.11.0.traindir.61fffb38eed511ea975eacde48001122	gmtkEMtrain	4	184355	0	78.625932	0
24	emt0.11.bundle.traindir.61fffb38eed511ea975eacde48001122	gmtkEMtrain	4	0	0	79.421355	0
25	emt0.12.0.traindir.61fffb38eed511ea975eacde48001122	gmtkEMtrain	4	184355	0	85.461359	0
26	emt0.12.bundle.traindir.61fffb38eed511ea975eacde48001122	gmtkEMtrain	4	0	0	86.133067	0
27	emt0.13.0.traindir.61fffb38eed511ea975eacde48001122	gmtkEMtrain	4	184355	0	92.080783	0
28	emt0.13.bundle.traindir.61fffb38eed511ea975eacde48001122	gmtkEMtrain	4	0	0	92.737769	0
29	emt0.14.0.traindir.61fffb38eed511ea975eacde48001122	gmtkEMtrain	4	184355	0	98.710116	0
30	emt0.14.bundle.traindir.61fffb38eed511ea975eacde48001122	gmtkEMtrain	4	0	0	99.34536200000001	0
31	emt0.15.0.traindir.61fffb38eed511ea975eacde48001122	gmtkEMtrain	4	184355	0	105.27816999999999	0
32	emt0.15.bundle.traindir.61fffb38eed511ea975eacde48001122	gmtkEMtrain	4	0	0	105.922629	0
33	emt0.16.0.traindir.61fffb38eed511ea975eacde48001122	gmtkEMtrain	4	184355	0	111.641336	0
34	emt0.16.bundle.traindir.61fffb38eed511ea975eacde48001122	gmtkEMtrain	4	0	0	112.30552499999999	0
35	emt0.17.0.traindir.61fffb38eed511ea975eacde48001122	gmtkEMtrain	4	184355	0	118.271268	0
36	emt0.17.bundle.traindir.61fffb38eed511ea975eacde48001122	gmtkEMtrain	4	0	0	118.909614	0
37	emt0.18.0.traindir.61fffb38eed511ea975eacde48001122	gmtkEMtrain	4	184355	0	124.591775	0
38	emt0.18.bundle.traindir.61fffb38eed511ea975eacde48001122	gmtkEMtrain	4	0	0	125.227893	0
39	emt0.19.0.traindir.61fffb38eed511ea975eacde48001122	gmtkEMtrain	4	184355	0	130.828016	0
40	emt0.19.bundle.traindir.61fffb38eed511ea975eacde48001122	gmtkEMtrain	4	0	0	131.468682	0
